variety,colour,grape_colour
graisse,white,NA
grand noir de la calmette,red,black
gras? de cotnari,white,NA
grechetto,white,blanc
greco,white,NA
green hungarian,white,blanc
grenache,red,noir
garnacha,red,noir
grenache blanc,white,blanc
grignolino,red,noir
grillo,white,blanc
gringet,white,blanc
grisa nera,red,NA
grk bijeli,white,blanc
grolleau,red,noir
groppello,red,noir
gros manseng,white,blanc
gros verdot,red,NA
gr¸ner veltliner,white,blanc
gueuche noir,red,NA
gutenborner,white,blanc
h·rslevel?,white,blanc
hebÈn,white,blanc
helfensteiner,red,NA
heroldrebe,red,noir
hibernal,white,green
hondarrabi zuri,white,NA
hondarribi beltza,red,NA
hron,red,NA
humagne blanche,white,blanc
huxelrebe,white,blanc
incrocio manzoni 1.50,white,NA
incrocio manzoni 2.14,red,NA
incrocio manzoni 2.15,red,NA
irsai olivÈr,white,blanc
isabella,red,noir
ives noir,red,red
jacquËre,white,blanc
jaÈn tinto,red,NA
joubertin,red,NA
juan garc„≠a,red,NA
juhfark,white,blanc
juwel,white,NA
kabar,white,NA
kadarka,red,black
kalecik karas?,red,NA
kanzler,white,blanc
kÈknyel?,white,NA
kerner,white,blanc
knipperlÈ,white,blanc
koshu,white,NA
kotsifali,red,NA
kˆvÈrsz?l?,white,blanc
krasnostop zolotovsky,red,NA
kratosija,red,NA
krsta?,white,blanc
la crescent,white,blanc
la crosse,white,NA
l'acadie blanc,white,NA
lacrima,red,NA
lagarino bianco,white,NA
lagorthi,white,NA
lagrein,red,red
lambrusco,red,NA
landal noir,red,NA
landot noir,red,NA
lauzet,white,NA
len de l'el,white,blanc
lÈon millot,red,noir
liatiko,red,NA
limnio,red,noir
list·n de huelva,white,NA
list·n negro,red,NA
loureira,white,blanc
luglienga,white,NA
macabeo,white,white
maceratino,white,white
madeleine angevine,white,blanc
madrasa,red,pink
magarach ruby,red,noir
magliocco canino,red,NA
magliocco dolce,red,NA
malagousia,white,blanc
malbec,red,black
malvar,white,NA
malvasia,white,white
mammolo,red,noir
mandilaria,red,noir
manseng noir,red,noir
manto negro,red,NA
mantonico bianco,white,NA
manzoni bianco,white,NA
maraötina,white,NA
maratheftiko,red,NA
marawi,white,NA
marechal foch,red,NA
marechal joffre,red,NA
marsanne,white,blanc
marselan,red,noir
marzemina bianca,white,NA
marzemino,red,NA
mauzac,white,blanc
mauzac noir,red,NA
mavro,red,NA
mavrodafni,red,NA
mavrud,red,NA
melody,white,white
melon,white,blanc
melon de bourgogne,white,blanc
mencÌa,red,noir
merille,red,NA
merlot,red,black
merlot blanc,white,NA
merseguera,white,blanc
meslier-saint-franÁois,white,NA
milgranet,red,NA
minella bianca,white,NA
misket cherven,white,pink
mission,red,NA
molette,white,blanc
molinara,red,black
mondeuse blanche,white,blanc
mondeuse noire,red,noir
monica,red,NA
montepila,white,blanc
montepulciano,red,purple
montepulciano d'abruzzo,red,NA
montonico bianco,white,NA
mont˘,red,NA
mont˘,white,NA
moreto,red,noir
morio muscat,white,blanc
moristel,red,NA
mornen noir,red,NA
morrastel bouschet,red,NA
moscato giallo,white,NA
moschofilero,white,rose
mourisco tinto,red,noir
mourvËdre,red,NA
mtevandidi,red,NA
mtsvane,white,white
mujuretuli,red,purple
m¸ller-thurgau,white,blanc
mureto,red,noir
muscadelle,white,blanc
muscardin,red,noir
muscat,white,NA
moscato,white,NA
muscat blanc ‡ petits grains,white,blanc
muscat bleu,red,noir
muscat d'eisenstadt,white,blanc
muscat of alexandria,white,blanc
muscat ottonel,white,blanc
muscat rose ‡ petits grains,white,rose
muscat rouge ‡ petits grains,white,rouge
narince,white,NA
nasco,white,NA
nebbiolo,red,noir
negoska,red,NA
negrara,red,NA
nÈgrette,red,noir
negroamaro,red,NA
nerello,red,NA
nero d'avola,red,NA
neuburger,white,blanc
neyret,white,NA
nielluccio,red,NA
noah,white,NA
nobling,white,NA
nocera,red,noir
noiret,red,NA
norton,red,noir
nosiola,white,NA
nuragus,white,NA
oeillade noire,red,NA
ˆk¸zgˆz¸,red,NA
ondenc,white,blanc
optima,white,blanc
orlÈans,white,blanc
ortega,white,blanc
ortrugo,white,NA
ˆsterreichisch-weiﬂ,white,blanc
pais,red,NA
pallagrello bianco,white,NA
pallagrello nero,red,NA
palomino,white,NA
pamid,red,NA
pampanuto,white,NA
papazkaras?,red,NA
pardillo,white,NA
parellada,white,white
parraleta,red,red
pascal blanc,white,NA
pascale di cagliari,red,NA
passerina,white,NA
pearl of csaba,white,blanc
pecorino,white,NA
pedro gimÈnez,white,NA
pedro ximÈnez,white,blanc
pelaverga,red,noir
peloursin,red,black
perle,white,NA
perricone,red,NA
persan,red,NA
petit bouschet,red,NA
petit manseng,white,blanc
petit meslier,white,blanc
petit rouge,red,NA
petit verdot,red,rouge
petite arvine,white,white
petite syrah,red,NA
peurion,white,blanc
picardan,white,blanc
piccola nera,red,NA
picolit,white,blanc
piedirosso,red,noir
pigato,white,blanc
pignolo,red,NA
pineau d'aunis,red,NA
pinot blanc,white,blanc
pinot grigio,white,rose
pinot gris,white,rose
pinot meunier,red,noir
pinot nero,red,black
pinot noir,red,black
pinot noir prÈcoce,red,NA
pinotage,red,red
pione,red,NA
piquepoul,red,blanc
piquepoul,white,blanc
plantet,red,NA
plassa,red,NA
plavac mali,red,red
plavay,white,blanc
pollera nera,red,noir
portan,red,noir
poöip,white,white
poulsard,red,noir
priÈ blanc,white,NA
prieto picudo,red,NA
prokupac,red,noir
prosecco,white,NA
prunesta,red,noir
rabo de ovelha,white,NA
raboso,red,NA
ramisco,red,noir
r‰uschling,white,blanc
ravat blanc,white,NA
refosco,red,noir
refosco dal peduncolo rosso,red,noir
regner,white,NA
reichensteiner,white,blanc
retagliado bianco,white,NA
rËze,white,NA
rhoditis,white,NA
ribolla gialla,white,NA
rieslaner,white,NA
riesling,white,blanc
rimava,red,NA
rkatsiteli,white,blanc
robola,white,NA
roesler,red,NA
romÈ,red,NA
romeiko,red,NA
romorantin,white,blanc
rondinella,red,black
rosette,red,red
rossese bianco,white,NA
rossignola,red,NA
rossola nera,red,NA
rossolino nero,red,NA
rotberger,red,NA
roter veltliner,white,rose
rotgipfler,white,NA
roublot,white,blanc
rouge du pays,red,noir
roupeiro,white,NA
roussanne,white,blanc
rovello bianco,white,NA
royalty,red,NA
ruby cabernet,red,NA
ruchÈ,red,NA
rufete,red,NA
sacy,white,blanc
sagrantino,red,noir
saint-pierre dorÈ,white,NA
salvador,red,NA
san giuseppe nero,red,NA
sangiovese,red,purple
saperavi,red,black
sarfeher,white,NA
sauvignon blanc,white,blanc
sauvignon gris,white,NA
sauvignon vert,white,NA
sauvignon,white,NA
savagnin,white,NA
savagnin rose,white,rose
savatiano,white,NA
scheurebe,white,NA
schioppettino,red,NA
schˆnburger,red,rose
sciacarello,red,noir
sciascinoso,red,noir
sÈgalin,red,noir
sÈmillon,white,blanc
sercial,white,blanc
servanin,red,noir
severny,red,NA
seyval blanc,white,blanc
seyval noir,red,NA
siegerrebe,white,blanc
silvaner,white,blanc
siroka melniska,red,noir
sjriak,red,NA
smederevka,white,NA
sousao,red,NA
sous„o,red,NA
souson,red,NA
sousÛn,red,NA
souvignier gris,white,NA
souz„o,red,noir
st. laurent,red,noir
st. pepin,white,NA
stanuöina crna,red,noir
sumoll,red,NA
sumoll,white,NA
susac crni,red,red
susumaniello,red,noir
swenson red,red,NA
swish beverages,white,NA
syrah,red,black
syrah,red,black
taferielt,red,noir
tamarez,white,NA
taminga,white,NA
tamjanika,white,NA
tannat,red,blue-black
tarrango,red,NA
tazzelenghe,red,noir
teinturier,red,NA
tempranillo,red,noir
tempranillo blanco,white,NA
tÈoulier,red,NA
termarina rossa,red,NA
teroldego,red,NA
terrano,red,noir
terrantez,white,NA
terret blanc,white,NA
terret gris,white,NA
terret noir,red,noir
thrapsathiri,white,NA
tibouren,red,NA
timorasso,white,NA
tinta amarela,red,noir
tinta barroca,red,NA
tinta c„o,red,noir
tinta carvalha,red,NA
tinta francisca,red,NA
